都道府県,人口密度,高齢化率,県民所得,住宅面積,通勤時間
北海道,66.6,32.2,2,851,91.23,40
青森県,128.3,33.9,2,644,121.58,38
岩手県,79.2,33.8,2,797,119.9,39
宮城県,316.1,28.3,2,975,97.24,46
秋田県,82.4,37.6,2,707,131.93,36
山形県,114.6,34,2,932,135.18,34
福島県,133,31.8,2,921,112.65,40
茨城県,470.2,29.9,3,286,107.79,48
栃木県,301.7,29.2,3,398,106.54,41
群馬県,304.8,30.4,3,255,107.14,44
埼玉県,1934.00,27.1,3011,87.15,60
千葉県,1218.50,27.6,3066,89.74,56
東京都,6402.60,22.8,5757,65.9,54
神奈川県,3823.20,25.6,3129,78.24,58
新潟県,174.9,32.9,2,954,128.95,37
富山県,243.6,32.8,3,322,145.17,43
石川県,270.5,30,2,934,126.6,40
福井県,183,30.8,3,370,138.43,36
山梨県,181.4,31.1,3,042,111.94,38
長野県,151,32.2,2,946,121.62,41
岐阜県,186.3,30.6,3,042,121.77,44
静岡県,467.2,30.2,3,391,103.15,42
愛知県,1458.00,25.4,3687,95.01,51
三重県,306.6,30.2,2,994,110.42,45
滋賀県,351.9,26.4,3,335,115.49,46
京都府,559,29.4,2,990,86.93,49
大阪府,4638.40,27.5,3076,76.98,55
兵庫県,650.5,29.3,3,047,93.4,56
奈良県,358.8,31.7,2,634,110.87,52
和歌山県,195.3,33.4,2,939,105.72,38
鳥取県,157.8,32.5,2,468,121.52,36
島根県,100.1,34.4,2,960,123.08,39
岡山県,265.4,30.7,2,813,105.64,42
広島県,330.2,29.6,3,164,93.52,47
山口県,219.6,34.8,3,128,102.3,39
徳島県,173.5,34.5,3,144,111.05,37
香川県,506.3,31.9,3,036,108.58,39
愛媛県,235.2,33.4,2,714,99.95,36
高知県,97.3,35.6,2,683,95.32,38
福岡県,1029.80,28.1,2,836,84.66,45
佐賀県,332.5,30.8,2,769,112.48,39
長崎県,317.7,33.1,2,608,97.2,42
熊本県,234.6,31.6,2,676,99.57,40
大分県,177.2,33.5,2,723,98.02,42
宮崎県,138.3,32.7,2,432,94.39,35
鹿児島県,172.9,32.8,2,599,88.67,35
沖縄県,642.9,22.6,2,332,75.77,44

