都道府県,人口密度,高齢化率,県民所得,生活保護扶助世帯数,一般病院数
北海道,66.6,32.2,2851,364108,479
青森県,128.3,33.9,2644,69454,77
岩手県,79.2,33.8,2797,29535,77
宮城県,316.1,28.3,2975,65096,109
秋田県,82.4,37.6,2707,29693,50
山形県,114.6,34,2932,18027,53
福島県,133,31.8,2921,38929,102
茨城県,470.2,29.9,3286,63081,153
栃木県,301.7,29.2,3398,46504,87
群馬県,304.8,30.4,3255,37234,115
埼玉県,1934,27.1,3011,221871,296
千葉県,1218.5,27.6,3066,199173,255
東京都,6402.6,22.8,5757,671581,588
神奈川県,3823.2,25.6,3129,359206,289
新潟県,174.9,32.9,2954,43475,105
富山県,243.6,32.8,3322,8778,87
石川県,270.5,30,2934,16576,78
福井県,183,30.8,3370,9159,57
山梨県,181.4,31.1,3042,15185,52
長野県,151,32.2,2946,24031,111
岐阜県,186.3,30.6,3042,27896,85
静岡県,467.2,30.2,3391,71680,140
愛知県,1458,25.4,3687,173991,284
三重県,306.6,30.2,2994,34929,81
滋賀県,351.9,26.4,3335,23613,50
京都府,559,29.4,2990,121882,152
大阪府,4638.4,27.5,3076,669179,473
兵庫県,650.5,29.3,3047,231284,314
奈良県,358.8,31.7,2634,42055,71
和歌山県,195.3,33.4,2939,35956,75
鳥取県,157.8,32.5,2468,14673,39
島根県,100.1,34.4,2960,11931,38
岡山県,265.4,30.7,2813,54503,145
広島県,330.2,29.6,3164,88675,206
山口県,219.6,34.8,3128,31818,114
徳島県,173.5,34.5,3144,28822,92
香川県,506.3,31.9,3036,23542,77
愛媛県,235.2,33.4,2714,49341,121
高知県,97.3,35.6,2683,40767,111
福岡県,1029.8,28.1,2836,277604,393
佐賀県,332.5,30.8,2769,17944,86
長崎県,317.7,33.1,2608,58666,120
熊本県,234.6,31.6,2676,55134,170
大分県,177.2,33.5,2723,45640,128
宮崎県,138.3,32.7,2432,40522,120
鹿児島県,172.9,32.8,2599,65456,197
沖縄県,642.9,22.6,2332,85288,77
